	gene_id	number_isoforms
0	101359991	50
1	101361192	50
2	101341040	42
3	101341595	30
4	101351666	29
5	101351856	28
6	101356676	28
7	101352105	25
8	101343928	25
9	101354866	24
10	101340463	24
11	101361178	23
12	101343347	23
13	101352452	23
14	101351365	22
15	101359455	22
16	101345588	21
17	101346965	21
18	101350473	20
19	101350762	20
20	101341702	20
21	101361271	20
22	101358668	19
23	101353208	19
24	101341611	19
25	101344919	19
26	101354312	19
27	101359532	18
28	101344786	17
29	101359017	17
30	101357964	17
31	101361176	17
32	101344473	17
33	101344074	17
34	101346859	17
35	101359288	17
36	101353675	17
37	101350413	16
38	101342050	16
39	101352952	16
40	101350769	16
41	101356870	16
42	101359533	16
43	101346617	16
44	101361981	16
45	101361910	16
46	101358049	16
47	101349340	16
48	105756570	16
49	101352799	16
50	101342964	16
51	101352346	16
52	101345118	16
53	101359894	16
54	101357241	15
55	101355295	15
56	101343990	15
57	101353609	15
58	101361219	15
59	101349211	15
60	101359428	15
61	101352911	15
62	101349136	15
63	101348589	15
64	101361684	15
65	101342105	15
66	101345376	15
67	101341169	15
68	101341822	14
69	101358580	14
70	101344215	14
71	101356910	14
72	101356041	14
73	101358608	14
74	101350382	14
75	101346475	14
76	101357464	14
77	101355052	14
78	101352430	14
79	101360006	14
80	101347786	14
81	101355128	14
82	101346885	13
83	101349054	13
84	101341275	13
85	101345816	13
86	101355875	13
87	101350452	13
88	105756576	13
89	101344611	13
90	101348546	13
91	101349512	13
92	101361288	13
93	101351106	13
94	101346396	13
95	101344378	13
96	101360631	13
97	101361067	13
98	101359513	13
99	101353656	13
100	101359658	13
101	101357247	13
102	101357683	13
103	101340588	13
104	101343451	13
105	101358954	13
106	101353136	13
107	101345046	13
108	101350374	13
109	101360456	13
110	101343493	13
111	101344864	13
112	101357307	12
113	101353620	12
114	101341715	12
115	101356745	12
116	101354646	12
117	101358359	12
118	101361829	12
119	101358179	12
120	101356345	12
121	101341119	12
122	101349866	12
123	101356767	12
124	101340302	12
125	101350080	12
126	111821227	12
