N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
1000	88.9	73.3	68.7	64.7	17.1	12.4	76.7190421088701	85.7585139318885	243	678	235	0.813664596273292	0.5	1000	80.3498150431566	66.6400299850075	14.375593220339	BUSCO
2000	89.9	73.4	70.8	65.1	18.7	13.4	76.9908643324766	86.0384316770186	267	663	214	0.840062111801242	0.5	1000	80.8164115125536	67.8304635761589	15.61246105919	BUSCO
8000	90.3	73.6	72.8	65.3	19.9	14.2	76.7405958236107	86.6287339971551	282	655	204	0.864906832298137	0.5	1000	81.099206833435	68.8463432295438	16.5736070381232	BUSCO
500	86.2	73.5	64	63.3	15.7	11.5	74.9001662395492	84.1554716981132	224	669	254	0.762422360248447	0.444444444444444	1000	79.3450219160927	63.6480754124116	13.2757352941176	BUSCO
6000	90.3	73.8	72.7	65.6	19.8	14.1	76.9600906421714	86.8959781063025	281	644	198	0.875776397515528	0.388888888888889	1000	81.2204753199269	68.9677512653651	16.470796460177	BUSCO
800	87.9	72.9	67.2	64	16.8	12	76.1418695275654	84.7965509651754	240	712	240	0.793478260869565	0.5	1000	79.7003731343284	65.5609756097561	14	BUSCO
4000	90.2	73.7	72.4	65.3	19.3	13.8	77.1087515989593	86.6151376163265	274	653	200	0.87888198757764	0.388888888888889	1000	81.1194630872483	68.6669571532317	16.0930513595166	BUSCO
3000	90.4	73.5	71.9	65	19.4	13.8	77.4579303362462	86.8805852024312	275	660	200	0.854037267080745	0.5	1000	81.078706528371	68.2761139517896	16.1277108433735	BUSCO
200	80.7	74.1	55.5	60.8	11.3	8.9	71.1642546818277	78.0808080808081	161	579	306	0.658385093167702	0.5	1000	77.2593023255814	58.0292347377472	9.95742574257426	BUSCO
1500	89.8	73.6	70.2	65.2	18.3	13.2	76.9392670957054	86.1755630768394	260	654	216	0.829192546583851	0.388888888888889	1000	80.8969400244798	67.6076809453471	15.3371428571429	BUSCO
5000	90.1	73.9	72.8	65.7	19.8	14.3	77.0784148134397	86.7694805194805	281	635	203	0.874223602484472	0.5	1000	81.1998780487805	69.0680144404332	16.6064516129032	BUSCO
7000	90.1	73.7	72.7	65.3	19.5	14	76.7526900260061	86.5944658815429	277	647	202	0.877329192546584	0.388888888888889	1000	81.0789987789988	68.8015942028986	16.2985074626866	BUSCO
800	88	73.4	67.1	63.2	14.6	10.7	74.537618687353	83.5202761000863	207	639	238	0.824534161490683	0.333333333333333	1000	80.0396530359356	65.0916346891788	12.3494071146245	BUSCO
7000	90.3	73.7	72.8	65.4	19.2	13.9	76.911370011193	86.6665023732753	273	635	203	0.877329192546584	0.444444444444444	1000	81.1598780487805	68.9018813314038	16.1256797583082	BUSCO
1000	88.6	73.4	68.7	63.8	15.3	11.2	74.7696181566933	83.5712426731844	218	633	232	0.826086956521739	0.388888888888889	1000	80.2869135802469	66.1593962264151	12.9328301886792	BUSCO
