N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
200	86.3	74.5	62.8	60.9	13.2	10.1	72.1512728792415	81.305114638448	187	576	276	0.777950310559006	0.277777777777778	1000	79.967039800995	61.8354082457559	11.4437768240343	MIX
1500	90.6	72.9	70.7	63.7	17.7	12.1	75.0024060629327	84.9327770050997	253	708	191	0.835403726708075	0.444444444444444	1000	80.7919266055046	67.0177083333333	14.3738255033557	MIX
2000	90.7	72.1	70.6	63.1	17.2	11.5	74.8571824132261	84.8363829993223	245	749	196	0.846273291925466	0.444444444444444	1000	80.3374692874693	66.639640987285	13.7839721254355	MIX
500	89.2	74.6	67.6	63.1	16.3	11.9	74.0382321690344	83.8304552590267	231	615	228	0.821428571428571	0.277777777777778	1000	81.2493284493284	65.272532517215	13.7567375886525	MIX
1000	90.4	72.7	69.8	63	17.2	11.5	74.7120411849255	84.2105263157895	244	752	200	0.843167701863354	0.388888888888889	1000	80.5895769466585	66.2259036144578	13.7839721254355	MIX
3000	91.3	72	71.4	63.2	17.7	11.5	75.1994447233732	85.0174216027875	253	802	183	0.860248447204969	0.388888888888889	1000	80.5094917330067	67.0502228826151	13.9417808219178	MIX
4000	91.4	72.1	71.9	63.6	18.9	12.2	75.7210780940518	85.1851851851852	268	806	181	0.850931677018634	0.5	1000	80.6108868501529	67.4957933579336	14.8282958199357	MIX
5000	91.4	72.2	72.3	64	18.9	12.3	75.6960507563086	85.7713960829841	268	798	184	0.849378881987578	0.5	1000	80.6733496332518	67.8972853998533	14.9019230769231	MIX
800	90	74	69.3	63.5	18	12.6	74.7173223317235	84.1365393282981	255	669	219	0.833850931677019	0.333333333333333	1000	81.219512195122	66.273343373494	14.8235294117647	MIX
3000	91.2	72.7	72.1	64.3	18.7	12.6	75.8016709299547	85.2232071504973	266	746	195	0.852484472049689	0.388888888888889	1000	80.905918242831	67.9769794721408	15.0555910543131	MIX
1500	91.3	73.1	71.6	64	18.2	12.4	75.7868379046704	85.1494252873563	258	731	206	0.850931677018634	0.333333333333333	1000	81.1925790754258	67.5870206489676	14.7503267973856	MIX
4000	91.2	72.6	72	64.4	18.9	12.5	75.8827155750889	86.0054347826087	269	763	184	0.855590062111801	0.333333333333333	1000	80.843956043956	67.9882697947214	15.0477707006369	MIX
800	90.2	74.9	69.6	64.5	16.7	12.1	75.949456678194	85.2842809364548	237	641	231	0.827639751552795	0.388888888888889	1000	81.8410660205936	66.9530201342282	14.0326388888889	MIX
5000	91.4	72.3	72.3	64	18.8	12.2	75.5459623298687	85.6678658465823	267	796	185	0.849378881987578	0.5	1000	80.7357361026268	67.8972853998533	14.7974193548387	MIX
200	86.6	75.8	61.4	62.7	13.1	10	72.6364655392887	81.5871959365367	186	575	276	0.725155279503106	0.388888888888889	1000	80.8408866995074	62.0431909750202	11.3419913419913	MIX
2000	91	72.5	71.4	63.7	17.9	12	75.6070761723398	85.4717858033508	254	757	198	0.849378881987578	0.444444444444444	1000	80.7033639143731	67.3305699481865	14.3678929765886	MIX
1000	90.8	74.3	70.4	64.5	17.6	12.6	75.6057188438568	85.2874957662346	250	657	217	0.840062111801242	0.333333333333333	1000	81.7254996971532	67.3209785025945	14.6860927152318	MIX
500	89.7	74.8	67.3	63.9	15.1	11.2	74.8798646324521	83.8644467191998	214	620	253	0.807453416149068	0.388888888888889	1000	81.5751975683891	65.5559451219512	12.8608365019011	MIX
4000	91.4	72.5	71.9	63.8	18.9	12.5	75.4444750530558	85.9133126934985	269	776	190	0.850931677018634	0.388888888888889	1000	80.8602806589384	67.6082535003685	15.0477707006369	MIX
2000	91.3	72.5	71.4	63.7	18	12	75.304540671409	84.5454545454545	255	751	191	0.849378881987578	0.444444444444444	1000	80.8211233211233	67.3305699481865	14.4	MIX
3000	91.3	72.3	71.6	63.4	18.8	12.4	75.2236084392952	85.0799289520426	267	776	192	0.850931677018634	0.388888888888889	1000	80.6966992665037	67.250962962963	14.9435897435897	MIX
1500	91	72.4	70.8	63.3	17.7	11.8	75.001786232388	84.0225563909774	251	760	197	0.84472049689441	0.388888888888889	1000	80.6413708690331	66.8402684563758	14.16	MIX
200	87.2	77.9	62.4	62.9	13.2	10.3	73.6217930027272	82.1364062081884	188	509	251	0.787267080745342	0.388888888888889	1000	82.2880678376741	62.6490023942538	11.5710638297872	MIX
1000	90.7	72.4	69.8	63.2	18.2	12.1	75.5401101548389	85.1703406813627	258	765	199	0.841614906832298	0.388888888888889	1000	80.5233599019007	66.3362406015038	14.5359735973597	MIX
5000	91.4	72.2	72.2	64	18.8	12.2	75.5448641436643	85.7142857142857	267	798	184	0.849378881987578	0.5	1000	80.6733496332518	67.8531571218796	14.7974193548387	MIX
800	90.6	72.7	69.2	62.9	16.5	11.2	75.4634869275416	85.4120575987935	235	742	210	0.841614906832298	0.388888888888889	1000	80.6689528475199	65.8997728993187	13.3429602888087	MIX
500	89.7	75.1	68.2	63.9	16.3	11.8	75.5684252041428	85.4534952335835	231	633	227	0.81832298136646	0.388888888888889	1000	81.7532766990291	65.9800151400454	13.6896797153025	MIX
800	90.9	64.8	67.7	55.7	14.4	7.8	70.8698426000703	78.7746170678337	204	1211	200	0.843167701863354	0.444444444444444	10000	75.6624277456647	61.1165316045381	10.1189189189189	MIX
2000	91.7	63.2	69.1	55.3	14.9	7.6	70.9161112302097	79.2763157894737	212	1333	180	0.841614906832298	0.444444444444444	10000	74.8281471917366	61.4345659163987	10.0657777777778	MIX
5000	92.3	62.9	70.2	55.3	15.2	7.5	71.2239093999079	79.3006051521208	216	1405	168	0.850931677018634	0.222222222222222	10000	74.8153350515464	61.8654980079681	10.0440528634361	MIX
3000	92.2	62.5	69.6	55	15	7.4	70.9481619455916	79.3921572414503	213	1430	173	0.854037267080745	0.444444444444444	10000	74.4990303813833	61.4446227929374	9.91071428571429	MIX
4000	92.2	62.6	69.9	55.2	15.4	7.6	71.5437916161475	79.8347652720205	219	1438	173	0.854037267080745	0.277777777777778	10000	74.5700258397933	61.6863309352518	10.1773913043478	MIX
