N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
4000	88.7	68.9	68.4	60.7	16.6	9.9	73.0205154827622	81.9119934665941	236	979	197	0.781055900621118	0.333333333333333	1000	77.5562182741117	64.3203718048025	12.4030188679245	ONT
500	86.8	70.8	63.8	59.8	14.3	9.4	71.7944002181419	80.561122244489	203	821	249	0.757763975155279	0.555555555555556	1000	77.9878172588832	61.7352750809061	11.3434599156118	ONT
5000	89.2	68.6	69.1	60.4	17.6	10.4	73.524569182049	82.556270096463	250	998	196	0.787267080745342	0.388888888888889	1000	77.5553865652725	64.4577606177606	13.0742857142857	ONT
2000	88.8	70.2	68.4	61.5	17	10.7	74.0046454963565	83.2827875901902	242	883	210	0.791925465838509	0.222222222222222	1000	78.4120754716981	64.7667436489607	13.1335740072202	ONT
1000	88.4	71.2	67.1	61.4	16.1	10.4	72.9085124480476	81.7760357398744	229	810	214	0.790372670807453	0.277777777777778	1000	78.8731829573935	64.123579766537	12.6369811320755	ONT
3000	88.6	69.5	68.4	60.9	16.8	10.4	73.1968521769373	81.8801089918256	239	916	202	0.787267080745342	0.277777777777778	1000	77.8962681846932	64.4324825986079	12.8470588235294	ONT
200	82	71.5	55.8	57.6	11.1	7.8	69.5346744961792	76.271186440678	158	723	294	0.664596273291925	0.222222222222222	1000	76.3908794788274	56.6857142857143	9.16190476190476	ONT
800	88.1	71.5	66.8	61.5	16	10.5	72.7737361712886	82.0609647786429	227	801	221	0.77639751552795	0.333333333333333	1000	78.9367167919799	64.0405300077942	12.6792452830189	ONT
1500	88.9	70.5	68.5	61.6	17	10.8	73.8726562411014	83.3820662768031	242	864	213	0.790372670807453	0.333333333333333	1000	78.638017565872	64.8670253651038	13.2086330935252	ONT
3000	89	68.5	68.5	59.9	16.9	10	73.0950424163006	82.6092055013179	240	988	193	0.788819875776398	0.333333333333333	1000	77.415873015873	63.9119937694704	12.5650557620818	ONT
2000	88.5	67.9	67.8	59	16.5	9.7	71.8359827520383	80.5674978503869	234	1008	203	0.791925465838509	0.277777777777778	1000	76.8433503836317	63.0946372239748	12.2175572519084	ONT
4000	89.1	68.7	68.8	60.5	18	10.7	73.4167341728913	82.6263006347752	256	985	195	0.790372670807453	0.333333333333333	1000	77.5813688212928	64.3836040216551	13.4216027874564	ONT
1500	87.9	68.6	66.6	59.3	16.3	9.8	71.6539031844563	80.188679245283	232	962	217	0.768633540372671	0.444444444444444	1000	77.0599361022364	62.7383637807784	12.2406130268199	ONT
200	80.7	73	55.5	59.2	10.4	7.9	69.6448654375402	76.2595480391439	149	635	312	0.645962732919255	0.222222222222222	1000	76.6571242680547	57.2903225806452	8.9792349726776	ONT
5000	89.2	68.6	69	60.4	17.6	10.4	73.5772713431614	82.556270096463	250	997	195	0.788819875776398	0.333333333333333	1000	77.5553865652725	64.4142194744977	13.0742857142857	ONT
800	87	68	64.2	58.2	14	8.3	70.928692521632	79.2114695340502	199	1026	226	0.757763975155279	0.444444444444444	1000	76.3354838709677	61.0529411764706	10.4215246636771	ONT
1000	87.3	68.4	64.9	58.8	14.7	8.8	70.710076011443	78.9673310908601	209	982	220	0.760869565217391	0.388888888888889	1000	76.7028901734104	61.6995957962813	11.0093617021277	ONT
500	86	68.9	62.8	58.2	13.5	8.4	70.8227382352408	77.9310344827586	191	914	234	0.746894409937888	0.5	1000	76.5061329890252	60.4125619834711	10.3561643835616	ONT
1000	88.3	70.6	66.8	61.3	16.2	10.2	72.9361352898659	81.9438301636444	230	883	214	0.771739130434783	0.5	1000	78.4641913152926	63.9319281811085	12.5181818181818	ONT
200	79.5	74.4	53.2	60	11.1	8.5	68.0198666741738	74.1116751269035	158	592	318	0.599378881987578	0.444444444444444	1000	76.8654970760234	56.3957597173145	9.62755102040816	ONT
3000	89	69.1	68.5	60.7	17.7	10.6	73.0219139938917	81.8907420013615	252	974	193	0.787267080745342	0.333333333333333	1000	77.797596457938	64.3645510835913	13.2593639575972	ONT
2000	88.7	69.4	67.8	60.7	17.4	10.5	73.156143387969	82.566177023538	247	963	197	0.771739130434783	0.444444444444444	1000	77.8719797596458	64.0538521400778	13.0967741935484	ONT
1500	88.7	69.8	67.7	60.9	16.8	10.4	73.0947782093632	81.9935691318328	240	917	198	0.77639751552795	0.444444444444444	1000	78.1231545741325	64.1202177293935	12.8470588235294	ONT
5000	89.3	68.6	69.1	60.4	17.5	10.4	73.5580985208834	82.475884244373	248	996	193	0.788819875776398	0.388888888888889	1000	77.5931602279924	64.4577606177606	13.0465949820789	ONT
4000	89.2	68.9	69	60.6	17.7	10.5	73.6189714732316	82.8552368245497	252	998	195	0.779503105590062	0.388888888888889	1000	77.7467425679949	64.5277777777778	13.1808510638298	ONT
500	85.4	71.6	62.2	60.5	14	9.4	71.2532631900478	79.858436704327	199	777	250	0.701863354037267	0.5	1000	77.8935031847134	61.3382233088835	11.2478632478632	ONT
800	87.5	70.5	65.5	60.9	15	9.6	71.9298735523814	80.9616858237548	213	854	221	0.757763975155279	0.444444444444444	1000	78.0854430379747	63.1162974683544	11.7073170731707	ONT
1000	91.1	66.8	68.3	56.9	16	8.8	71.9117858291682	80.6094182825485	228	1143	181	0.812111801242236	0.333333333333333	10000	77.0801773274224	62.0809904153355	11.3548387096774	ONT
200	85.8	70.1	57.7	56	12	7.8	70.6148180845106	78.7223541025219	172	840	231	0.701863354037267	0.388888888888889	10000	77.1594611930725	56.8372911169745	9.45454545454545	ONT
1500	91.8	65.9	69.3	56.6	17.1	9.1	73.0137873827907	82.3943661971831	243	1218	165	0.838509316770186	0.333333333333333	10000	76.7231452124287	62.3094519459889	11.8786259541985	ONT
800	91	66.7	67.8	56.6	15.8	8.6	71.6867037328138	80.4638218923933	224	1164	195	0.798136645962733	0.444444444444444	10000	76.9778059606848	61.6958199356913	11.1377049180328	ONT
500	90.2	66.4	65.3	55.7	14.9	8.1	70.7196734107887	79.3402777777778	211	1164	194	0.779503105590062	0.5	10000	76.4914431673052	60.119173553719	10.4947826086957	ONT
4000	91.8	65.2	69.6	56.5	17.3	8.7	71.8086354633421	80.9659090909091	246	1329	154	0.815217391304348	0.444444444444444	10000	76.2466242038217	62.3695479777954	11.5776923076923	ONT
3000	91.7	65.8	69.9	57	17.5	9.1	72.3909327321602	82.0104011887073	248	1252	156	0.830745341614907	0.222222222222222	10000	76.6204444444444	62.7943262411348	11.9736842105263	ONT
5000	91.9	64.9	69.8	56.4	17.5	8.7	72.102123591963	81.4935064935065	249	1362	151	0.81832298136646	0.444444444444444	10000	76.0753826530612	62.388589540412	11.6221374045802	ONT
2000	91.6	66	69.5	57	16.8	8.9	72.7643887783651	81.974228174939	239	1233	166	0.838509316770186	0.388888888888889	10000	76.7208121827411	62.6324110671937	11.6357976653696	ONT
4000	91.9	65.1	70	57	17.5	8.9	72.6514065728887	81.9047619047619	249	1328	155	0.832298136645963	0.444444444444444	10000	76.2126114649681	62.8346456692913	11.7992424242424	ONT
1000	91	65.8	67.5	56.3	16.1	8.5	71.2594636480457	79.7816533375564	229	1219	174	0.805900621118012	0.444444444444444	10000	76.375	61.3933764135703	11.1260162601626	ONT
200	85.4	68.7	56.8	54.3	12	7.3	67.4936451846782	74.4166666666667	171	943	237	0.700310559006211	0.388888888888889	10000	76.1451005840363	55.5218721872187	9.07772020725388	ONT
500	89.8	67.4	64.7	57.2	14.9	8.5	70.6458164946867	79.2677046828327	212	1073	203	0.802795031055901	0.333333333333333	10000	77.0040712468194	60.7192780968007	10.8247863247863	ONT
2000	91.8	65.2	69.4	56.4	17.6	9	72.4928494536531	81.6096572933749	250	1311	167	0.829192546583851	0.277777777777778	10000	76.2466242038217	62.2282988871224	11.9097744360902	ONT
3000	92.1	65.3	70.1	56.7	18	9.1	72.2258653347213	81.6937274634832	255	1321	158	0.835403726708075	0.333333333333333	10000	76.4184243964422	62.6919558359621	12.0885608856089	ONT
800	90.8	65.9	66.6	56.2	16.1	8.6	71.2263476932186	79.7210300429185	229	1187	180	0.791925465838509	0.5	10000	76.3716656030632	60.9596091205212	11.2113360323887	ONT
5000	91.9	64.8	69.9	56.4	17.5	8.7	72.0597326939197	81.4527166820511	249	1358	149	0.821428571428571	0.444444444444444	10000	76.006636885769	62.4285035629454	11.6221374045802	ONT
1500	91.6	65.2	68.5	56.4	16.9	8.7	71.6790516591236	80.2992518703242	240	1269	164	0.809006211180124	0.277777777777778	10000	76.1775510204082	61.8638911128903	11.48671875	ONT
4000	92.1	65	70	56.7	17.7	8.8	72.0774707143482	81.4447592067989	251	1359	150	0.819875776397516	0.444444444444444	10000	76.2126034373011	62.6519337016575	11.7554716981132	ONT
800	90.6	66.6	67	57.2	15.6	8.4	72.3296908983443	81.7120622568093	221	1191	183	0.798136645962733	0.5	10000	76.7679389312977	61.7133655394525	10.92	ONT
3000	92.1	64.8	69.5	56.2	17	8.5	71.8318064897878	81.1074918566775	242	1352	155	0.822981366459627	0.444444444444444	10000	76.0749521988528	62.1463802704853	11.3333333333333	ONT
5000	92	64.9	69.9	56.5	17.5	8.7	72.0903419078067	81.4770903254049	249	1355	150	0.81832298136646	0.444444444444444	10000	76.1096239643085	62.4897151898734	11.6221374045802	ONT
500	89.6	67.4	64.9	56.9	15.7	8.7	71.498032995158	80.477229601518	225	1133	195	0.760869565217391	0.611111111111111	10000	76.9304458598726	60.6372742200328	11.1959016393443	ONT
2000	91.7	65.2	68.7	56.5	16.8	8.5	71.7724643926123	80.7861162756341	238	1319	161	0.81832298136646	0.388888888888889	10000	76.2121096239643	62.0055910543131	11.2885375494071	ONT
1500	91.8	65.2	68.8	56.6	16.8	8.5	72.3463145655002	81.3278008298755	239	1324	157	0.824534161490683	0.388888888888889	10000	76.2466242038217	62.1065390749601	11.2885375494071	ONT
200	85.8	70.2	57.6	56.2	12	7.5	68.2000008246122	74.6324021196687	171	855	232	0.692546583850932	0.611111111111111	10000	77.22	56.891388400703	9.23076923076923	ONT
1000	91.2	66.5	68.3	57.6	16.3	8.7	73.2958777434576	82.3130484241621	232	1224	176	0.81832298136646	0.5	10000	76.9156626506024	62.4953137410643	11.3448	ONT
200	86	72.9	60.4	59.9	13	9.2	72.0692376688749	79.0171606864275	184	708	266	0.718944099378882	0.555555555555556	2500	78.9100062932662	60.1489609310058	10.7747747747748	ONT
5000	90.7	67.9	69.9	59.9	18.7	10.6	73.7811222919711	83.6795252225519	266	1080	168	0.807453416149068	0.388888888888889	2500	77.6611601513241	64.5147919876733	13.5303754266212	ONT
4000	90.5	68	69.9	60.1	18.9	10.6	73.9163911975703	83.6829836829837	268	1082	166	0.807453416149068	0.388888888888889	2500	77.6529968454259	64.6306153846154	13.5823728813559	ONT
800	89.8	68.9	67.3	59.7	16.1	9.6	73.3117547366618	82.8828828828829	229	972	193	0.801242236024845	0.555555555555556	2500	77.9737870195337	63.2725984251968	12.0280155642023	ONT
500	89	68.3	65.5	58.7	15.8	9.4	72.7907512613064	81.8443804034582	224	1004	209	0.763975155279503	0.444444444444444	2500	77.2879847425302	61.9138486312399	11.7873015873016	ONT
1000	89.5	69.4	67.3	60.4	17.3	10.5	73.7661713066955	82.6923076923077	245	945	204	0.795031055900621	0.5	2500	78.1787287602266	63.6635865309319	13.068345323741	ONT
1500	90.2	69.2	68.9	60.6	18	10.8	73.8920722011839	83.2645563305129	256	960	189	0.802795031055901	0.444444444444444	2500	78.3166875784191	64.4840154440154	13.5	ONT
2000	90	69	68.9	60.6	18.2	10.6	73.5594537034891	83.139623508078	258	1015	183	0.793478260869565	0.444444444444444	2500	78.1132075471698	64.4840154440154	13.3972222222222	ONT
3000	90.2	68.2	69.4	60.1	18.4	10.5	73.3474737940396	83.3208020050125	261	1064	173	0.793478260869565	0.388888888888889	2500	77.6722222222222	64.4160617760618	13.3702422145329	ONT
1000	88.6	68.2	65.6	58.6	15.4	9	70.7864099408784	79.4341432225064	219	1013	202	0.765527950310559	0.388888888888889	2500	77.0729591836735	61.9027375201288	11.3606557377049	ONT
500	86.9	68.7	63.3	58.2	14.1	8.6	71.0615773839611	79.5414462081129	200	954	227	0.745341614906832	0.5	2500	76.7356041131105	60.642962962963	10.6837004405286	ONT
4000	90.5	68	69.6	59.9	18.7	10.7	73.7117356408211	83.6231265163597	266	1054	172	0.802795031055901	0.333333333333333	2500	77.6529968454259	64.3867181467182	13.6115646258503	ONT
200	82.2	72.6	56.7	58.8	11.2	8.1	70.486032835637	77.2954924874791	159	678	287	0.664596273291925	0.277777777777778	2500	77.1023255813953	57.7309090909091	9.40103626943005	ONT
800	88	68	65	58.3	15.6	9.1	71.4532884596548	80.3681058776168	222	1044	216	0.760869565217391	0.5	2500	76.7179487179487	61.4679643146796	11.4947368421053	ONT
1500	89.3	68.3	67.4	59.1	17.3	10.1	72.4119683921907	81.6598760673921	245	1010	195	0.781055900621118	0.5	2500	77.4008883248731	62.9777075098814	12.7540145985401	ONT
5000	90.7	67.9	69.8	59.8	18.6	10.5	73.7843991643794	83.6829836829837	264	1076	168	0.809006211180124	0.388888888888889	2500	77.6611601513241	64.4141975308642	13.4226804123711	ONT
3000	90.6	67.8	69.7	59.5	17.6	10	73.1314514033711	83.5394891846505	250	1064	171	0.815217391304348	0.277777777777778	2500	77.5590909090909	64.1973684210526	12.7536231884058	ONT
2000	89.9	67.5	68.7	58.8	17	9.7	72.2062397974658	82.1608040201005	242	1056	187	0.799689440993789	0.277777777777778	2500	77.1060991105464	63.3656470588235	12.3520599250936	ONT
500	87.6	71.2	64.2	60.5	16.1	10.3	73.0864092895961	81.9934794934795	229	872	225	0.753105590062112	0.333333333333333	2500	78.5531486146096	62.2951082598236	12.5628787878788	ONT
3000	91	68.6	70.3	60.5	18.1	10.4	74.4064533976475	84.1365393282981	257	1059	169	0.821428571428571	0.444444444444444	2500	78.2280701754386	65.032874617737	13.2098245614035	ONT
2000	90.9	69.1	69.8	60.4	17.2	10	74.2506341664951	83.7370242214533	245	1028	184	0.819875776397516	0.444444444444444	2500	78.514875	64.7606758832565	12.6470588235294	ONT
5000	90.6	67.9	69.8	59.7	18.5	10.4	73.6721740720237	83.6021505376344	263	1081	168	0.807453416149068	0.444444444444444	2500	77.6244794952681	64.356138996139	13.3148788927336	ONT
1500	90.7	69.5	69.3	60.6	16.8	9.9	73.8010108771204	83.6021505376344	239	978	180	0.805900621118012	0.388888888888889	2500	78.6972534332085	64.6586605080831	12.4584269662921	ONT
200	83.5	74	57.2	60.1	12.1	8.8	69.5263984535613	76.8558951965066	172	640	275	0.675465838509317	0.611111111111111	2500	78.4634920634921	58.6141517476556	10.1894736842105	ONT
4000	90.7	68.5	70.2	60.4	19.3	11	74.1720516681779	84.1269841269841	274	1058	167	0.804347826086957	0.444444444444444	2500	78.052135678392	64.9323124042879	14.013201320132	ONT
1000	90.1	69.6	68.1	60.5	16.8	10	73.4587591525524	83.3333333333333	239	972	190	0.799689440993789	0.333333333333333	2500	78.5342517219787	64.0754276827372	12.5373134328358	ONT
800	89.8	69.5	67.3	60.1	16.1	9.6	73.3391465844984	83.4625322997416	229	979	196	0.788819875776398	0.388888888888889	2500	78.3565599497803	63.496546310832	12.0280155642023	ONT
