N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
1000	92	73.2	71.5	64.2	18.6	12.5	76.1752825076943	85.8725761772853	264	760	207	0.855590062111801	0.5	1000	81.5302663438257	67.653647752395	14.951768488746	PacBio
5000	92.7	71.8	73.3	63.8	19.7	12.8	76.4269152623122	86.6287339971551	280	807	179	0.87888198757764	0.388888888888889	1000	80.9223100303951	68.2208606856309	15.5175384615385	PacBio
800	91.9	73	70.8	63.8	18.1	12.1	75.7850401676884	85.9315589353612	257	763	205	0.852484472049689	0.5	1000	81.3668890236507	67.1179791976226	14.5039735099338	PacBio
4000	92.7	72	73.3	64	19.7	12.8	76.3129414060004	86.6169074142819	280	812	185	0.877329192546584	0.277777777777778	1000	81.0491803278689	68.3350327749454	15.5175384615385	PacBio
6000	92.7	72.1	73.3	64.3	19.8	12.7	76.1936240871812	86.7042707493956	281	810	179	0.877329192546584	0.277777777777778	1000	81.1125	68.5056686046512	15.4744615384615	PacBio
200	89.1	74.3	63.8	60.6	13.5	9.5	71.4506021167042	79.696394686907	191	681	245	0.788819875776398	0.388888888888889	1000	81.0297429620563	62.1588424437299	11.1521739130435	PacBio
1500	92.3	72.5	72.1	64.1	18.9	12.6	76.1606512369474	86.0714285714286	269	774	195	0.854037267080745	0.388888888888889	1000	81.2105582524272	67.8650513950073	15.12	PacBio
3000	92.8	71.6	73.3	63.7	19.6	12.7	76.3841721505313	86.5543368133562	278	808	184	0.874223602484472	0.388888888888889	1000	80.8330900243309	68.1636496350365	15.4130030959752	PacBio
2000	92.6	71	72.6	62.9	18.7	11.9	75.6761078399199	86.1094206789571	266	845	190	0.872670807453416	0.333333333333333	1000	80.3740831295843	67.4028044280443	14.5444444444444	PacBio
7000	92.7	72.2	73.3	64.3	19.5	12.6	76.633391097914	86.6981429792606	277	801	174	0.875776397515528	0.333333333333333	1000	81.1757428744694	68.5056686046512	15.3084112149533	PacBio
500	90.9	73.7	68.8	63.7	16.8	11.5	75.4182034438503	84.5331695331695	239	741	220	0.829192546583851	0.333333333333333	1000	81.4013365735115	66.1518490566038	13.6537102473498	PacBio
2000	92.2	73.1	72.4	64.9	18.5	12.5	76.8298365967957	87.0069605568445	263	737	190	0.864906832298137	0.444444444444444	1000	81.546521476104	68.4451565914057	14.9193548387097	PacBio
4000	92.6	72.6	73.1	64.5	19.6	12.9	76.8329809290549	86.8242307056001	278	768	177	0.869565217391304	0.333333333333333	1000	81.3893462469734	68.53125	15.5593846153846	PacBio
5000	92.6	72.1	73.1	64	19.3	12.5	76.1768637387601	86.6050808314088	274	808	179	0.869565217391304	0.388888888888889	1000	81.0741955069824	68.2479941648432	15.1729559748428	PacBio
1000	91.8	72.5	70.2	63.3	16.8	11.1	75.1642133638319	84.9137931034483	239	788	206	0.83695652173913	0.5	1000	81.0164333536214	66.5716853932584	13.3677419354839	PacBio
1500	92.2	73.7	72.4	65.2	18.7	12.7	77.1810308371776	87.1244635193133	266	720	185	0.869565217391304	0.277777777777778	1000	81.9185051235684	68.6116279069767	15.1267515923567	PacBio
800	91.6	72.4	69.8	63.1	17.3	11.4	75.5110898704947	85.0715746421268	246	788	202	0.840062111801242	0.444444444444444	1000	80.8760975609756	66.2811136192626	13.7435540069686	PacBio
6000	92.7	71.9	73	64	19.7	12.7	76.0371174148057	86.6981429792606	280	813	180	0.868012422360248	0.277777777777778	1000	80.9857837181045	68.2043795620438	15.4438271604938	PacBio
500	90.7	72.2	67.6	62.1	15.9	10.7	74.2620389124355	83.730202997957	227	761	218	0.81832298136646	0.444444444444444	1000	80.3995089011664	64.7333847340015	12.7917293233083	PacBio
3000	92.5	72.5	72.8	64.4	19.5	12.9	76.7711005759245	86.8959781063025	277	770	178	0.87111801242236	0.388888888888889	1000	81.2878787878788	68.3428571428572	15.5277777777778	PacBio
7000	92.7	72.2	73.3	64.3	19.6	12.7	76.556098405021	86.6522366522367	279	800	173	0.874223602484472	0.333333333333333	1000	81.1757428744694	68.5056686046512	15.4130030959752	PacBio
200	87.9	74.5	61.8	62	13.2	9.7	73.429544608719	81.6935626145508	187	602	246	0.77639751552795	0.222222222222222	1000	80.6471674876847	61.8998384491115	11.1825327510917	PacBio
1500	92.1	72.8	71.6	64	18.3	12.2	75.9837598431518	86.0427072927073	260	751	192	0.855590062111801	0.277777777777778	1000	81.3205579138872	67.5870206489676	14.64	PacBio
1000	91.5	74.2	70.7	65	18	12.5	76.5227713813576	86.5189902948862	256	696	198	0.854037267080745	0.388888888888889	1000	81.946891973446	67.7302873986736	14.7540983606557	PacBio
500	89.5	76.5	67.3	65.7	16	12.1	75.1207436296525	84.5423322683706	228	569	239	0.812111801242236	0.555555555555556	1000	82.4909638554217	66.4903759398496	13.779359430605	PacBio
6000	92.7	71.8	72.9	63.6	19.4	12.5	75.8683034097291	86.3593698018155	276	820	185	0.869565217391304	0.388888888888889	1000	80.9223100303951	67.9331868131868	15.2037617554859	PacBio
2000	92.5	71.9	72.1	63.3	18.1	11.6	75.1588017814815	85.5029585798817	257	822	195	0.857142857142857	0.333333333333333	1000	80.9093673965937	67.4140324963072	14.1387205387205	PacBio
200	87.5	75.7	61.9	62.6	13.7	10.3	73.319696406855	82.2387743696053	194	569	242	0.762422360248447	0.444444444444444	1000	81.1734068627451	62.2480321285141	11.7591666666667	PacBio
3000	92.5	72.1	72.6	63.9	19.1	12.3	76.2269901773708	86.583850931677	271	813	186	0.866459627329193	0.333333333333333	1000	81.0358444714459	67.9727472527472	14.9636942675159	PacBio
800	90.7	75.3	69.5	65.6	17	12.2	76.6226826079897	86.8482787491301	243	648	214	0.843167701863354	0.555555555555556	1000	82.2856626506024	67.4937083641747	14.2054794520548	PacBio
4000	92.6	72.3	72.8	64.1	19.1	12.4	76.3184475036119	86.4649681528662	271	800	184	0.869565217391304	0.388888888888889	1000	81.2004851425106	68.1735573411249	15.0374603174603	PacBio
5000	92.7	72.1	73	64	19.5	12.6	76.0360639107636	86.3979848866499	277	813	183	0.868012422360248	0.388888888888889	1000	81.1125	68.2043795620438	15.3084112149533	PacBio
7000	92.7	72.1	73.3	64.2	19.6	12.7	76.507392673246	86.606292464416	279	803	172	0.874223602484472	0.333333333333333	1000	81.1125	68.4488727272727	15.4130030959752	PacBio
2000	93.1	59.5	69.1	52.4	14.5	6.6	69.9869257727595	77.6595744680851	206	1661	165	0.854037267080745	0.388888888888889	10000	72.6009174311927	59.602304526749	9.07109004739336	PacBio
500	92.2	60.4	65.6	51.1	12.2	5.8	68.5080127223295	73.9871750830184	173	1519	184	0.819875776397516	0.5	10000	72.986631716907	57.4491859468723	7.86222222222222	PacBio
200	90.6	58.8	60	47.7	9	4.3	65.6209671048787	70.4918032786885	128	1546	202	0.759316770186335	0.555555555555556	10000	71.3156626506024	53.1476323119777	5.81954887218045	PacBio
4000	93.4	60.9	70.4	54	16	7.6	70.6553914627943	78.7619033536405	227	1535	169	0.858695652173913	0.333333333333333	10000	73.7272845106935	61.1189710610932	10.3050847457627	PacBio
1000	92.8	60.5	68.2	52.6	14.1	6.7	70.4317651525346	77.8784779050737	200	1523	162	0.84472049689441	0.5	10000	73.2472276581865	59.3927152317881	9.08365384615385	PacBio
5000	93.3	61	70.4	54.1	15.6	7.5	70.960005965667	78.8617886178862	222	1508	168	0.864906832298137	0.222222222222222	10000	73.7692806221646	61.1829718875502	10.1298701298701	PacBio
1500	92.9	60.2	69	52.8	14.4	6.7	70.1122415902309	77.7188328912467	204	1594	168	0.858695652173913	0.333333333333333	10000	73.0578706727629	59.8226600985222	9.14502369668246	PacBio
3000	93.2	60.2	69.9	53.2	15.6	7.3	70.4727793353246	78.7882968363754	222	1591	170	0.850931677018634	0.444444444444444	10000	73.1504563233377	60.417221770918	9.94585152838428	PacBio
6000	93.3	61.1	70.5	54.4	15.7	7.6	71.1967107979257	79.482359230221	223	1487	164	0.860248447204969	0.277777777777778	10000	73.8423575129534	61.4123298638911	10.2420600858369	PacBio
7000	93.2	61.2	70.4	54.3	15.6	7.5	70.990968602017	79.1255289139633	222	1490	171	0.858695652173913	0.277777777777778	10000	73.8839378238342	61.3106655974338	10.1298701298701	PacBio
800	92.6	59.7	66.9	51.5	13	6.1	69.0674153642316	76.0687237228589	185	1539	172	0.816770186335404	0.444444444444444	10000	72.5964543663821	58.1984797297297	8.30366492146597	PacBio
7000	93.2	61.2	70.4	54.4	15.6	7.5	71.0677518555062	79.3248945147679	221	1491	168	0.857142857142857	0.277777777777778	10000	73.8839378238342	61.374358974359	10.1298701298701	PacBio
200	89.5	64.4	60.1	53	9.6	5.5	68.3604703525869	75	136	1089	239	0.767080745341615	0.444444444444444	10000	74.90318388564	56.3271441202476	6.99337748344371	PacBio
1500	93	63.1	69.5	55.3	14.9	7.5	71.2353355080026	79.0922343173139	212	1362	175	0.840062111801242	0.333333333333333	10000	75.1864189622037	61.5921474358974	9.97767857142857	PacBio
6000	93.3	60.9	70.4	54.1	15.6	7.4	71.0445951119855	79.1679003849201	222	1513	164	0.858695652173913	0.277777777777778	10000	73.6961089494163	61.1829718875502	10.0382608695652	PacBio
800	92.5	64	68.6	55.7	14.5	7.5	71.4736350622883	79.8634812286689	207	1308	183	0.841614906832298	0.444444444444444	10000	75.6549520766773	61.4806114239743	9.88636363636364	PacBio
4000	93.2	61.4	70.2	54.2	15.6	7.6	70.8418358352619	78.9124743394546	222	1450	169	0.850931677018634	0.277777777777778	10000	74.0294954721863	61.1710610932476	10.2206896551724	PacBio
