isoform	gene	length
PB.5.6	novelGene_9	903
PB.5.10	novelGene_15	747
PB.5.11	novelGene_16	651
PB.6.2	novelGene_25	894
PB.6.5	novelGene_27	645
PB.6.6	novelGene_30	894
PB.6.11	novelGene_32	447
PB.6.10	novelGene_34	447
PB.6.12	novelGene_35	324
PB.6.13	novelGene_36	324
PB.14.8	novelGene_69	1677
PB.13.7	novelGene_77	711
PB.13.9	novelGene_78	621
PB.13.11	novelGene_80	504
PB.17.2	novelGene_85	837
PB.16.2	novelGene_115	792
PB.16.10	novelGene_128	594
PB.16.7	novelGene_129	792
PB.16.9	novelGene_130	888
PB.16.6	novelGene_131	594
PB.16.5	novelGene_133	594
PB.29.1	novelGene_151	1062
PB.29.2	novelGene_152	1155
PB.31.1	novelGene_166	1386
PB.32.1	novelGene_168	1221
PB.34.5	novelGene_170	978
PB.34.9	novelGene_178	1917
PB.34.16	novelGene_184	1968
PB.34.29	novelGene_194	1968
PB.34.23	novelGene_196	954
PB.34.43	novelGene_211	954
PB.33.1	novelGene_247	339
PB.35.4	novelGene_257	2700
PB.35.10	novelGene_262	1476
PB.35.6	novelGene_265	2817
PB.36.18	novelGene_289	384
PB.43.10	novelGene_319	1344
PB.43.8	novelGene_320	1344
PB.43.9	novelGene_321	1344
PB.43.7	novelGene_322	1344
PB.43.12	novelGene_324	1344
PB.43.49	novelGene_364	2718
PB.43.56	novelGene_370	2718
PB.43.63	novelGene_374	2718
PB.43.66	novelGene_377	2718
PB.41.5	novelGene_393	2340
PB.41.6	novelGene_394	1758
PB.41.8	novelGene_396	1365
PB.41.12	novelGene_401	795
PB.41.14	novelGene_402	876
PB.41.15	novelGene_403	762
PB.41.16	novelGene_404	795
PB.41.18	novelGene_406	408
PB.50.3	novelGene_441	501
PB.50.2	novelGene_442	543
PB.50.8	novelGene_445	462
PB.50.6	novelGene_447	543
PB.51.3	novelGene_450	351
PB.51.4	novelGene_451	351
PB.51.5	novelGene_452	351
PB.51.6	novelGene_453	351
PB.53.5	novelGene_468	342
PB.55.1	novelGene_480	1671
PB.61.9	novelGene_500	525
PB.61.11	novelGene_501	678
PB.61.8	novelGene_503	927
PB.61.7	novelGene_504	1104
PB.61.3	novelGene_505	1059
PB.61.4	novelGene_511	525
PB.61.6	novelGene_512	1104
PB.61.28	novelGene_514	525
PB.61.27	novelGene_515	1098
PB.61.26	novelGene_516	525
PB.61.37	novelGene_520	678
PB.61.31	novelGene_523	582
PB.61.33	novelGene_525	678
PB.61.46	novelGene_534	1104
PB.72.1	novelGene_562	3813
PB.72.50	novelGene_607	2541
PB.72.51	novelGene_608	2541
PB.83.2	novelGene_625	618
PB.83.4	novelGene_627	309
PB.83.6	novelGene_629	618
PB.83.8	novelGene_631	456
PB.83.24	novelGene_647	426
PB.83.31	novelGene_656	432
PB.92.1	novelGene_705	1059
PB.92.2	novelGene_706	852
PB.92.3	novelGene_707	852
PB.95.3	novelGene_713	1284
PB.95.6	novelGene_715	1155
PB.97.9	novelGene_741	1944
PB.97.8	novelGene_744	1698
PB.97.11	novelGene_748	1944
PB.160.2	novelGene_891	747
PB.160.4	novelGene_893	864
PB.160.5	novelGene_894	822
PB.160.6	novelGene_895	822
PB.160.7	novelGene_896	864
PB.160.8	novelGene_897	747
PB.160.11	novelGene_900	822
PB.160.12	novelGene_901	822
PB.160.13	novelGene_902	822
PB.160.14	novelGene_903	822
PB.207.12	novelGene_1150	1119
PB.207.16	novelGene_1155	2250
PB.207.20	novelGene_1158	1119
PB.207.28	novelGene_1166	1119
PB.207.30	novelGene_1168	372
PB.207.31	novelGene_1169	372
PB.209.7	novelGene_1184	2265
PB.210.6	novelGene_1190	333
PB.210.8	novelGene_1193	333
PB.211.3	novelGene_1197	765
PB.211.5	novelGene_1198	834
PB.213.2	novelGene_1205	840
PB.214.4	novelGene_1209	678
